"Verslagperiode","id","Productgroep","Omzet","Aantal"
201101,13,1,289447.01,134195
201102,13,1,200279.92,87596
201103,13,1,201181.31,87890
201104,13,1,216269.76,94393
201105,13,1,255345.72,111480
201106,13,1,226244.02,103297
201107,13,1,174879.39,76456
201108,13,1,259393.84,122675
201109,13,1,216603.49,94753
201110,13,1,261505.34,114440
201111,13,1,183108.12,80182
201112,13,1,158086.04,69251
201201,13,1,245495.5,107365
201202,13,1,182700.76,80011
201203,13,1,163326.07,77740
201204,13,1,221267.22,96914
201205,13,1,180959.43,77570
201206,13,1,176888.3,71335
201207,13,1,238886.19,96372
201208,13,1,252281.59,108807
201209,13,1,249844.56,100616
201210,13,1,211126.93,81039
201211,13,1,196330.92,73830
201212,13,1,182753.92,72944
201301,13,1,313772.09,133333
201302,13,1,251127.63,110691
201303,13,1,245377.63,96546
201304,13,1,353562.64,127902
201305,13,1,263467.12,94919
201306,13,1,207276.34,73759
201307,13,1,324420.45,115791
201308,13,1,257444.71,86383
201309,13,1,319159.93,108877
201310,13,1,338132.04,121623
201311,13,1,269607.52,96909
201312,13,1,241047.78,98589
201401,13,1,320840.12,120106
201402,13,1,422431.81,214606
201403,13,1,294493.55,106000
201404,13,1,215451.84,77524
201405,13,1,223752.51,80336
201406,13,1,269150.87,96665
201407,13,1,216002.27,83027
201408,13,1,213212.56,76590
201409,13,1,289973.18,104067
201410,13,1,252828.81,94564
201411,13,1,295850.38,140260
201412,13,1,92783.88,35529
201101,14,1,214131.79,93718
201102,14,1,175660.39,70755
201103,14,1,173952.56,70106
201104,14,1,184100.86,74199
201105,14,1,224725.21,90576
201106,14,1,198907.16,80131
201107,14,1,162449.71,65593
201108,14,1,244685.03,91369
201109,14,1,212739.48,85777
201110,14,1,237490.63,95776
201111,14,1,160340.91,64751
201112,14,1,145370.66,58767
201201,14,1,222733.41,89802
201202,14,1,202742.09,81439
201203,14,1,167526.65,67222
201204,14,1,290000.73,116347
201205,14,1,230339.5,92448
201206,14,1,207933.62,70042
201207,14,1,248825.72,83754
201208,14,1,304339.29,111682
201209,14,1,282629.73,94871
201210,14,1,326077.67,121700
201211,14,1,248974.89,99569
201212,14,1,197484.31,72631
201301,14,1,321894.34,113217
201302,14,1,318702.47,128319
201303,14,1,237356.01,80402
201304,14,1,409225,143400
201305,14,1,294922.72,99108
201306,14,1,259074.25,81493
201307,14,1,245560.14,75098
201308,14,1,226263.85,69032
201309,14,1,278073.1,88036
201310,14,1,281066.67,101333
201311,14,1,251992.86,92596
201312,14,1,216341.2,83717
201401,14,1,252829.23,85005
201402,14,1,325358.77,155674
201403,14,1,268996.95,90558
201404,14,1,254324.92,90176
201405,14,1,308334.44,115876
201406,14,1,273440.53,92062
201407,14,1,175993.56,59280
201408,14,1,193113.36,67438
201409,14,1,350075.78,137267
201410,14,1,213269.6,76898
201411,14,1,274502.74,123332
201412,14,1,76836.39,27750
201101,15,1,155182.91,316752
201102,15,1,127654.81,260553
201103,15,1,135983.61,277621
201104,15,1,164115.27,335155
201105,15,1,200038.69,408422
201106,15,1,141877.79,289572
201107,15,1,142346.41,290531
201108,15,1,191458.81,390758
201109,15,1,139144.49,284056
201110,15,1,163095.32,332891
201111,15,1,133943.36,273391
201112,15,1,200093.92,408461
201201,15,1,192846.36,393576
201202,15,1,170540.34,348074
201203,15,1,130445.52,266362
201204,15,1,230361.6,478900
201205,15,1,184924.52,462098
201206,15,1,161927.59,392943
201207,15,1,263265.4,537275
201208,15,1,242370.07,494885
201209,15,1,191056.27,389899
201210,15,1,267473.17,453447
201211,15,1,232334.41,445785
201212,15,1,299095.18,507154
201301,15,1,312651.92,585049
201302,15,1,215886.77,365918
201303,15,1,230840.45,391257
201304,15,1,368177.84,776350
201305,15,1,229432.64,388763
201306,15,1,254346.33,431207
201307,15,1,393110.27,666035
201308,15,1,247006.91,418656
201309,15,1,277194.49,469877
201310,15,1,221159.26,374941
201311,15,1,213505.13,361922
201312,15,1,294685.31,499531
201401,15,1,292280.5,495450
201402,15,1,221700.81,375860
201403,15,1,283553.91,480701
201404,15,1,239140.87,405442
201405,15,1,253615.79,429955
201406,15,1,327502.05,555333
201407,15,1,309033.52,524163
201408,15,1,265530.81,450208
